"cue","lemma","n"
"air","couldn",1
"air","create",1
"air","daily",1
"air","density",1
"air","different",4
"air","dioxide",8
"air","dirty",5
"air","disastrous",1
"air","dust",1
"air","earth",6
"air","element",9
"air","energy",2
"air","environment",1
"air","essence",1
"air","essential",2
"air","even",1
"air","every",1
"air","everything",3
"air","everywhere",3
"air","feed",1
"air","feel",2
"air","fill",4
"air","find",3
"air","fly",4
"air","forceful",1
"air","form",3
"air","four",1
"air","free",1
"air","fresh",4
"air","function",2
"air","functioning",1
"air","gas",9
"air","generally",1
"air","germ",1
"air","get",3
"air","give",2
"air","giver",1
"air","go",1
"air","good",3
"air","healthy",1
"air","heat",1
"air","heated",1
"air","heavy",1
"air","helium",1
"air","hold",1
"air","hot",12
"air","house",2
"air","human",6
"air","humid",1
"air","humidity",1
"air","hydrogen",1
"air","important",3
"air","inflate",1
"air","inflated",1
"air","inhale",1
"air","insulator",1
"air","intangible",1
"air","invaluable",1
"air","invisible",8
"air","keep",5
"air","kind",1
"air","know",1
"air","layer",1
"air","life",18
"air","light",4
"air","live",8
"air","lot",2
"air","low",1
"air","lung",5
"air","mainly",1
"air","make",11
"air","mammal",1
"air","many",4
"air","mass",1
"air","matter",1
"air","maybe",1
"air","minute",1
"air","mixture",4
"air","molecule",2
"air","monoxide",1
"air","mouth",1
"air","move",1
"air","multiple",1
"air","name",1
"air","nature",1
"air","necessary",9
"air","necessity",2
"air","need",10
"air","nitrogen",10
"air","non",1
"air","none",1
"air","nothing",1
"air","null",1
"air","o2",2
"air","object",2
"air","odor",1
"air","odorless",1
"air","one",1
"air","open",1
"air","outside",1
"air","oxygen",36
"air","oxygenate",1
"air","ozone",2
"air","part",2
"air","particle",4
"air","people",1
"air","plain",1
"air","plane",3
"air","planet",1
"air","plant",4
"air","poisonous",1
"air","pollute",4
"air","polluted",8
"air","pollution",4
"air","populate",1
"air","population",1
"air","pressure",1
"air","promote",1
"air","pure",1
"air","put",2
"air","radio",1
"air","refer",1
"air","referee",1
"air","require",3
"air","room",1
"air","s",1
"air","scent",1
"air","see",6
"air","send",1
"air","sensation",1
"air","separate",1
"air","short",1
"air","sky",5
"air","small",1
"air","smell",4
"air","smog",1
"air","smoke",1
"air","solid",1
"air","something",5
"air","sometimes",1
"air","sound",1
"air","space",6
"air","storm",1
"air","stuff",1
"air","substance",3
"air","surround",8
"air","survival",3
"air","survive",3
"air","sustain",1
"air","t",6
"air","take",2
"air","taste",1
"air","tasteless",1
"air","temperature",1
"air","thin",3
"air","thing",4
"air","time",2
"air","tire",4
"air","tornado",1
"air","toxic",2
"air","traditionally",1
"air","transparent",1
"air","tree",2
"air","turn",2
"air","unseen",1
"air","us",10
"air","use",4
"air","usually",3
"air","vacuum",1
"air","visible",1
"air","vital",4
"air","warm",3
"air","wave",2
"air","weight",2
"air","weightless",2
"air","well",2
"air","wet",1
"air","white",1
"air","wind",8
"air","without",2
"airplane","11",3
"airplane","9",3
"airplane","ability",1
"airplane","across",1
"airplane","aerodynamic",4
"airplane","air",10
"airplane","airplane",2
"airplane","airport",3
"airplane","allow",1
"airplane","also",1
"airplane","amount",1
"airplane","another",1
"airplane","anxiety",1
"airplane","attendant",2
"airplane","baggage",1
"airplane","become",1
"airplane","belt",1
"airplane","big",14
"airplane","body",2
"airplane","bring",1
"airplane","build",1
"airplane","burn",1
"airplane","cabin",1
"airplane","can",13
"airplane","cargo",1
"airplane","carry",11
"airplane","cloud",2
"airplane","club",1
"airplane","co",1
"airplane","cockpit",2
"airplane","coffee",1
"airplane","cold",2
"airplane","color",1
"airplane","combat",1
"airplane","conduct",1
"airplane","control",1
"airplane","country",3
"airplane","crash",3
"airplane","crowd",1
"airplane","cylindrical",1
"airplane","dangerous",2
"airplane","destruction",1
"airplane","difference",1
"airplane","different",3
"airplane","distance",4
"airplane","door",1
"airplane","drink",1
"airplane","drive",1
"airplane","dun",1
"airplane","durable",1
"airplane","emergency",1
"airplane","engine",17
"airplane","equipment",1
"airplane","exit",1
"airplane","expensive",3
"airplane","factory",1
"airplane","fast",8
"airplane","faster",1
"airplane","fear",2
"airplane","fiery",1
"airplane","find",2
"airplane","flight",4
"airplane","flow",1
"airplane","fly",50
"airplane","flying",1
"airplane","food",2
"airplane","form",3
"airplane","frighten",1
"airplane","fuel",10
"airplane","full",1
"airplane","gas",10
"airplane","gasoline",1
"airplane","get",1
"airplane","give",1
"airplane","go",3
"airplane","good",1
"airplane","grey",1
"airplane","ground",1
"airplane","heat",1
"airplane","heavy",4
"airplane","height",3
"airplane","help",1
"airplane","high",6
"airplane","hold",8
"airplane","hot",1
"airplane","huge",1
"airplane","inside",5
"airplane","interior",1
"airplane","jet",5
"airplane","land",1
"airplane","landing",1
"airplane","large",16
"airplane","lay",1
"airplane","lift",2
"airplane","like",1
"airplane","location",1
"airplane","long",6
"airplane","look",1
"airplane","lot",1
"airplane","loud",3
"airplane","luggage",3
"airplane","machine",1
"airplane","mail",1
"airplane","make",13
"airplane","many",1
"airplane","mass",1
"airplane","math",1
"airplane","mean",1
"airplane","metal",12
"airplane","mile",1
"airplane","milestone",1
"airplane","mode",2
"airplane","modern",1
"airplane","money",1
"airplane","move",1
"airplane","movie",2
"airplane","multicolored",1
"airplane","multiple",1
"airplane","must",1
"airplane","neat",1
"airplane","necessity",1
"airplane","need",1
"airplane","nose",1
"airplane","null",1
"airplane","object",1
"airplane","oil",1
"airplane","one",2
"airplane","package",2
"airplane","part",1
"airplane","passenger",15
"airplane","pay",1
"airplane","peanut",2
"airplane","people",28
"airplane","physics",2
"airplane","pillow",1
"airplane","pilot",21
"airplane","place",2
"airplane","possibly",1
"airplane","produce",1
"airplane","propeller",1
"airplane","provide",1
"airplane","quick",1
"airplane","quickly",2
"airplane","require",1
"airplane","ride",2
"airplane","run",14
"airplane","s",8
"airplane","safe",1
"airplane","seat",10
"airplane","seating",1
"airplane","several",3
"airplane","shaped",1
"airplane","sit",1
"airplane","size",2
"airplane","sky",5
"airplane","small",2
"airplane","smell",1
"airplane","sort",1
"airplane","state",2
"airplane","steel",2
"airplane","steer",1
"airplane","storage",1
"airplane","strong",1
"airplane","suppose",1
"airplane","tail",4
"airplane","take",2
"airplane","technology",3
"airplane","thing",1
"airplane","time",1
"airplane","tough",1
"airplane","train",1
"airplane","transplantation",1
"airplane","transport",7
"airplane","transportation",10
"airplane","travel",19
"airplane","trip",1
"airplane","turbulence",1
"airplane","two",3
"airplane","type",1
"airplane","us",1
"airplane","use",17
"airplane","usually",1
"airplane","vacation",1
"airplane","vary",1
"airplane","vehicle",1
"airplane","war",1
"airplane","warm",1
"airplane","way",1
"airplane","weapon",2
"airplane","wheel",4
"airplane","white",3
"airplane","wide",1
"airplane","wind",1
"airplane","window",7
"airplane","wing",33
"airplane","work",1
"airplane","worker",1
"alligator","aggression",1
"alligator","aggressive",1
"alligator","ambush",1
"alligator","america",1
"alligator","amphibious",1
"alligator","angry",1
"alligator","animal",14
"alligator","around",1
"alligator","attack",1
"alligator","australia",1
"alligator","bad",1
"alligator","bag",1
"alligator","bayou",1
"alligator","big",9
"alligator","bird",1
"alligator","bit",1
"alligator","bite",2
"alligator","blood",1
"alligator","body",2
"alligator","boot",1
"alligator","brown",4
"alligator","can",2
"alligator","carnivore",1
"alligator","chicken",1
"alligator","cousin",1
"alligator","crawl",1
"alligator","creature",1
"alligator","creepy",1
"alligator","crocodile",10
"alligator","dangerous",6
"alligator","deadly",1
"alligator","death",1
"alligator","deep",1
"alligator","demeanor",1
"alligator","dinosaur",2
"alligator","dragon",1
"alligator","dry",1
"alligator","eat",2
"alligator","eater",2
"alligator","edible",1
"alligator","escape",1
"alligator","evil",1
"alligator","expensive",1
"alligator","eye",1
"alligator","fast",2
"alligator","find",1
"alligator","florida",2
"alligator","football",1
"alligator","fresh",1
"alligator","game",1
"alligator","good",2
"alligator","green",19
"alligator","hard",3
"alligator","huge",1
"alligator","hungry",2
"alligator","hunt",1
"alligator","hurt",2
"alligator","intimidating",1
"alligator","jaw",2
"alligator","kill",2
"alligator","lake",3
"alligator","large",6
"alligator","life",1
"alligator","live",6
"alligator","lizard",1
"alligator","long",2
"alligator","lot",2
"alligator","louisiana",3
"alligator","make",1
"alligator","many",1
"alligator","marsh",1
"alligator","massive",1
"alligator","mean",9
"alligator","meat",2
"alligator","mississippi",1
"alligator","mouth",2
"alligator","murky",1
"alligator","muscle",1
"alligator","native",1
"alligator","null",1
"alligator","outlook",1
"alligator","people",1
"alligator","planet",1
"alligator","pond",2
"alligator","pool",1
"alligator","powerful",1
"alligator","predator",7
"alligator","product",1
"alligator","purse",1
"alligator","reptile",13
"alligator","river",3
"alligator","roll",1
"alligator","rough",2
"alligator","run",1
"alligator","saltwater",1
"alligator","scale",4
"alligator","scaly",2
"alligator","scary",12
"alligator","science",1
"alligator","seem",1
"alligator","sharp",9
"alligator","shoe",3
"alligator","similar",1
"alligator","since",1
"alligator","skin",5
"alligator","sleep",1
"alligator","smooth",1
"alligator","sneaky",1
"alligator","south",1
"alligator","strong",2
"alligator","summer",1
"alligator","swamp",13
"alligator","swim",2
"alligator","swimmer",2
"alligator","swimming",1
"alligator","tail",4
"alligator","territorial",1
"alligator","tooth",23
"alligator","type",1
"alligator","use",1
"alligator","violent",1
"alligator","warden",1
"alligator","water",13
"alligator","zoo",1
"apple","apple",4
"apple","apple flavored",1
"apple","apples",1
"apple","appleseed",1
"apple","away",1
"apple","banana",1
"apple","baseball",2
"apple","big",2
"apple","bitter",1
"apple","bone",1
"apple","bore",1
"apple","brown",1
"apple","butter",1
"apple","can",7
"apple","caramel",3
"apple","child",1
"apple","childhood",1
"apple","clean",2
"apple","color",1
"apple","colorful",1
"apple","come",2
"apple","common",1
"apple","company",2
"apple","computer",5
"apple","contain",2
"apple","cook",1
"apple","core",5
"apple","cover",1
"apple","crisp",5
"apple","crunchy",3
"apple","cut",1
"apple","delicious",2
"apple","dessert",1
"apple","different",2
"apple","dipper",1
"apple","doctor",1
"apple","eat",3
"apple","edible",5
"apple","eye",1
"apple","fair",1
"apple","fall",1
"apple","flavor",1
"apple","food",10
"apple","free",1
"apple","fresh",3
"apple","fruit",33
"apple","fuji",1
"apple","gala",2
"apple","get",1
"apple","gift",1
"apple","give",1
"apple","golden",1
"apple","good",4
"apple","granny",2
"apple","green",28
"apple","grocery",1
"apple","grow",14
"apple","halloween",1
"apple","hand",1
"apple","hard",2
"apple","healthy",8
"apple","i pods",1
"apple","inside",2
"apple","ipad",1
"apple","ipod",2
"apple","item",1
"apple","johnny",2
"apple","juice",2
"apple","juicy",15
"apple","keep",1
"apple","kind",1
"apple","laptop",1
"apple","large",1
"apple","like",1
"apple","mac",1
"apple","mainly",1
"apple","make",1
"apple","math",1
"apple","mcdonald",1
"apple","mushy",1
"apple","music",1
"apple","natural",1
"apple","nature",1
"apple","newton",1
"apple","null",1
"apple","nutrient",1
"apple","nutritional",1
"apple","nutritious",3
"apple","orange",2
"apple","orchard",2
"apple","peanut",1
"apple","pear",1
"apple","peel",1
"apple","people",2
"apple","pick",4
"apple","pie",7
"apple","pink",1
"apple","popular",1
"apple","red",44
"apple","remind",1
"apple","ripe",1
"apple","rotten",1
"apple","round",4
"apple","salad",1
"apple","seed",15
"apple","simple",1
"apple","size",2
"apple","skin",6
"apple","small",3
"apple","smell",1
"apple","smith",2
"apple","smoke",1
"apple","snow",1
"apple","soft",1
"apple","sour",6
"apple","star",1
"apple","stem",7
"apple","store",1
"apple","sugar",1
"apple","sweet",8
"apple","tart",1
"apple","taste",2
"apple","tasty",4
"apple","teacher",3
"apple","tooth",1
"apple","tree",19
"apple","type",2
"apple","use",2
"apple","vary",1
"apple","vitamin",1
"apple","well",1
"apple","white",2
"apple","worm",4
"apple","yellow",17
"art","5th",1
"art","ability",1
"art","abstract",5
"art","act",1
"art","almost",2
"art","also",1
"art","amazing",2
"art","anyone",1
"art","anything",4
"art","appeal",1
"art","appreciate",1
"art","architecture",1
"art","around",1
"art","arouse",1
"art","art",9
"art","artist",5
"art","aural",1
"art","available",1
"art","away",1
"art","bad",1
"art","beautiful",10
"art","beauty",3
"art","become",1
"art","beholder",1
"art","belie",1
"art","black",1
"art","bodybuilders",1
"art","booking",1
"art","boring",1
"art","box",1
"art","bright",1
"art","brush",1
"art","building",2
"art","can",34
"art","canvas",3
"art","carve",1
"art","cause",1
"art","certain",1
"art","chalk",1
"art","class",2
"art","clay",1
"art","color",15
"art","colorful",3
"art","coloring",2
"art","come",2
"art","communication",1
"art","complex",1
"art","computer",1
"art","concrete",1
"art","confusing",1
"art","construction",1
"art","contrast",1
"art","controversy",1
"art","cook",1
"art","cost",1
"art","craft",2
"art","crayon",1
"art","create",4
"art","creative",6
"art","creativeness",1
"art","creativity",4
"art","culture",1
"art","dali",1
"art","dance",5
"art","dancing",1
"art","decorate",1
"art","deep",1
"art","detail",2
"art","different",5
"art","difficult",1
"art","display",2
"art","disturbing",1
"art","draw",11
"art","drawing",4
"art","drawl",1
"art","dynamic",1
"art","easy",1
"art","eat",1
"art","either",1
"art","emotion",6
"art","emotional",1
"art","enjoy",1
"art","entertainment",1
"art","era",1
"art","etc",3
"art","everyone",1
"art","everywhere",2
"art","evoke",1
"art","ex",1
"art","exhibit",1
"art","exist",1
"art","expensive",1
"art","express",9
"art","expression",13
"art","extraordinary",1
"art","eye",2
"art","famous",1
"art","fancy",1
"art","feeling",6
"art","find",1
"art","fine",1
"art","flower",1
"art","form",8
"art","france",1
"art","fun",2
"art","gallery",3
"art","get",1
"art","give",1
"art","good",4
"art","gosh",1
"art","grade",1
"art","hand",1
"art","happy",2
"art","hard",2
"art","help",1
"art","hidden",1
"art","hill",1
"art","house",1
"art","human",1
"art","humanity",1
"art","idea",1
"art","illustration",1
"art","imagination",3
"art","imaginative",1
"art","include",1
"art","individual",1
"art","individuality",1
"art","inspire",2
"art","intangible",1
"art","intellect",1
"art","interesting",3
"art","interpretation",1
"art","introspective",1
"art","item",1
"art","just",1
"art","kind",2
"art","knight",1
"art","last",1
"art","liberate",1
"art","life",1
"art","light",1
"art","lighting",1
"art","lisa",2
"art","live",1
"art","long",1
"art","look",2
"art","lot",3
"art","love",1
"art","major",1
"art","make",9
"art","many",10
"art","meaning",1
"art","means",1
"art","medias",1
"art","medium",2
"art","michelangelo",1
"art","mind",1
"art","modern",1
"art","monet",1
"art","money",2
"art","move",1
"art","museum",6
"art","music",9
"art","musician",1
"art","necessary",1
"art","never",1
"art","nice",1
"art","null",1
"art","object",1
"art","often",1
"art","one",3
"art","paint",13
"art","paintbrush",1
"art","painting",22
"art","pair",1
"art","paper",2
"art","part",1
"art","passion",1
"art","pay",1
"art","pencil",1
"art","people",7
"art","perception",1
"art","perform",1
"art","performance",1
"art","person",2
"art","personal",1
"art","perspective",1
"art","photography",2
"art","physical",1
"art","picture",8
"art","poetry",1
"art","popular",1
"art","pottery",2
"art","proclaimed",1
"art","product",1
"art","production",1
"art","provoke",1
"art","pure",1
"art","reality",1
"art","relieve",1
"art","reliever",1
"art","renaissance",1
"art","require",2
"art","response",1
"art","rhythm",1
"art","rule",1
"art","s",1
"art","sad",1
"art","salvador",1
"art","scary",1
"art","school",1
"art","science",1
"art","scrap",1
"art","sculpt",1
"art","sculptor",1
"art","sculpture",7
"art","self",3
"art","shove",1
"art","show",3
"art","simple",2
"art","sing",2
"art","singer",1
"art","sketch",1
"art","skill",2
"art","skilled",1
"art","someone",1
"art","someones",1
"art","something",6
"art","sometimes",1
"art","song",1
"art","sorrowful",1
"art","sort",1
"art","statement",1
"art","statue",1
"art","story",1
"art","street",1
"art","stress",1
"art","subjective",1
"art","take",1
"art","talent",1
"art","talented",1
"art","tangible",1
"art","tell",1
"art","theater",2
"art","thing",1
"art","think",2
"art","thinking",1
"art","time",2
"art","trap",1
"art","trigger",1
"art","try",1
"art","type",2
"art","understand",1
"art","unique",2
"art","us",4
"art","use",5
"art","van",1
"art","vary",1
"art","view",1
"art","visual",2
"art","vivid",3
"art","water color",1
"art","way",6
"art","white",1
"art","work",5
"art","year",1
"ashtray","addiction",2
"ashtray","apparatus",1
"ashtray","ash",35
"ashtray","ashes",4
"ashtray","ashy",2
"ashtray","attack",1
"ashtray","bad",2
"ashtray","bar",5
"ashtray","black",3
"ashtray","blunt",3
"ashtray","bowl",1
"ashtray","bud",1
"ashtray","build",1
"ashtray","burning",1
"ashtray","butt",9
"ashtray","can",1
"ashtray","cancer",7
"ashtray","car",4
"ashtray","catch",1
"ashtray","cigar",5
"ashtray","cigarette",58
"ashtray","cir",1
"ashtray","circle",1
"ashtray","circular",1
"ashtray","clean",1
"ashtray","cog",2
"ashtray","color",2
"ashtray","combustible",1
"ashtray","contain",1
"ashtray","cough",1
"ashtray","decorative",1
"ashtray","detour",1
"ashtray","deviation",1
"ashtray","different",2
"ashtray","dirty",18
"ashtray","discard",1
"ashtray","disgust",1
"ashtray","disgusting",3
"ashtray","dish",1
"ashtray","drop",1
"ashtray","dryness",1
"ashtray","dust",1
"ashtray","dusty",1
"ashtray","environment",1
"ashtray","fill",1
"ashtray","filth",1
"ashtray","find",2
"ashtray","fire",4
"ashtray","flat",1
"ashtray","font",1
"ashtray","germ",1
"ashtray","glass",5
"ashtray","go",1
"ashtray","grate",1
"ashtray","gray",1
"ashtray","grey",3
"ashtray","gross",10
"ashtray","hand",3
"ashtray","hard",1
"ashtray","health",1
"ashtray","heart",1
"ashtray","hold",6
"ashtray","home",2
"ashtray","horrible",1
"ashtray","house",2
"ashtray","inside",1
"ashtray","item",1
"ashtray","light",1
"ashtray","lighter",1
"ashtray","like",1
"ashtray","locate",1
"ashtray","look",1
"ashtray","lung",3
"ashtray","make",5
"ashtray","marijuana",1
"ashtray","marlboro",1
"ashtray","matter",1
"ashtray","metal",2
"ashtray","misdirection",1
"ashtray","nasty",7
"ashtray","nicotine",1
"ashtray","non",1
"ashtray","null",1
"ashtray","party",1
"ashtray","physical",1
"ashtray","plastic",3
"ashtray","plate",1
"ashtray","powder",1
"ashtray","problem",1
"ashtray","put",4
"ashtray","refrigerate",1
"ashtray","restaurant",2
"ashtray","round",1
"ashtray","safety",1
"ashtray","second",3
"ashtray","section",1
"ashtray","shape",1
"ashtray","small",2
"ashtray","smell",13
"ashtray","smelly",8
"ashtray","smoke",29
"ashtray","smokeless",1
"ashtray","smoker",8
"ashtray","smoking",10
"ashtray","sneeze",1
"ashtray","someone",1
"ashtray","something",2
"ashtray","souvenir",1
"ashtray","square",2
"ashtray","stain",1
"ashtray","stench",1
"ashtray","stick",1
"ashtray","stink",1
"ashtray","stinky",3
"ashtray","stone",1
"ashtray","store",2
"ashtray","sturdy",1
"ashtray","table",1
"ashtray","tobacco",1
"ashtray","tool",1
"ashtray","trash",3
"ashtray","tray",2
"ashtray","truck",1
"ashtray","unhealthy",1
"ashtray","unsanitary",1
"ashtray","use",15
"ashtray","useful",1
"ashtray","user",1
"ashtray","vehicle",2
"ashtray","waste",1
"ashtray","wood",1
"ashtray","yuck",1
"baby","act",1
"baby","adoption",1
"baby","adorable",1
"baby","adult",2
"baby","also",1
"baby","animal",2
"baby","associate",2
"baby","babble",1
"baby","baby",8
"baby","babysit",2
"baby","bald",1
"baby","bear",7
"baby","beautiful",1
"baby","bed",1
"baby","belly",1
"baby","big",2
"baby","birth",1
"baby","blanket",2
"baby","blessing",1
"baby","blue",3
"baby","bottle",6
"baby","boy",2
"baby","breast",1
"baby","can",1
"baby","care",1
"baby","carefree",1
"baby","carriage",2
"baby","carry",1
"baby","cell",1
"baby","child",4
"baby","chubby",1
"baby","come",1
"baby","conceived",1
"baby","crawl",3
"baby","crawler",1
"baby","crib",2
"baby","cry",15
"baby","crying",5
"baby","cuddle",2
"baby","cuddly",1
"baby","cute",10
"baby","dad",1
"baby","daughter",1
"baby","delicate",1
