"cue","feature","pos","lemma"
"airplane","wide","adjective","wide"
"airplane","strong","adjective","strong"
"airplane","heavy","adjective","heavy"
"airplane","metal","noun","metal"
"airplane","tough","adjective","tough"
"airplane","durable","adjective","durable"
"airplane","long","adjective","long"
"airplane","large","adjective","large"
"airplane","several","adjective","several"
"airplane","windows","noun","window"
"airplane","several","adjective","several"
"airplane","people","noun","people"
"airplane","several","adjective","several"
"airplane","workers","noun","worker"
"airplane","large","adverb","large"
"airplane","produces","verb","produce"
"airplane","heat","noun","heat"
"airplane","flies","noun","fly"
"airplane","holds","verb","hold"
"airplane","people","noun","people"
"airplane","large","adjective","large"
"airplane","run","noun","run"
"airplane","jet","noun","jet"
"airplane","fuel","noun","fuel"
"airplane","made","verb","make"
"airplane","people","noun","people"
"airplane","transports","verb","transport"
"airplane","goods","noun","good"
"airplane","people","noun","people"
"airplane","large","adjective","large"
"airplane","metal","noun","metal"
"airplane","carries","verb","carry"
"airplane","passengers","noun","passenger"
"airplane","fly","verb","fly"
"airplane","fast","adverb","fast"
"airplane","fly","verb","fly"
"airplane","high","adjective","high"
"airplane","long","adjective","long"
"airplane","distance","noun","distance"
"airplane","trips","noun","trip"
"airplane","large","adjective","large"
"airplane","air","noun","air"
"airplane","carries","verb","carry"
"airplane","people","noun","people"
"airplane","uses","verb","use"
"airplane","gas","noun","gas"
"airplane","large","adjective","large"
"airplane","fly","noun","fly"
"airplane","made","verb","make"
"airplane","metals","noun","metal"
"airplane","aerodynamic","adjective","aerodynamic"
"airplane","burns","noun","burn"
"airplane","fuel","noun","fuel"
"airplane","seats","verb","seat"
"airplane","passengers","noun","passenger"
"airplane","large","adjective","large"
"airplane","aerodynamic","adjective","aerodynamic"
"airplane","jets","noun","jet"
"airplane","interior","adjective","interior"
"airplane","seats","noun","seat"
"airplane","baggage","noun","baggage"
"airplane","emergency","noun","emergency"
"airplane","exits","verb","exit"
"airplane","pilot","noun","pilot"
"airplane","co","noun","co"
"airplane","pilot","noun","pilot"
"airplane","passengers","noun","passenger"
"airplane","machine","noun","machine"
"airplane","large","adjective","large"
"airplane","flies","verb","fly"
"airplane","air","noun","air"
"airplane","transports","verb","transport"
"airplane","people","noun","people"
"airplane","different","adjective","different"
"airplane","places","noun","place"
"airplane","transportation","noun","transportation"
"airplane","smells","verb","smell"
"airplane","like","preposition","like"
"airplane","coffee","noun","coffee"
"airplane","crowded","verb","crowd"
"airplane","cold","adjective","cold"
"airplane","metal","noun","metal"
"airplane","used","verb","use"
"airplane","weapon","noun","weapon"
"airplane","people","noun","people"
"airplane","frightened","verb","frighten"
"airplane","wings","noun","wing"
"airplane","pilot","noun","pilot"
"airplane","controls","verb","control"
"airplane","9","number","9"
"airplane","11","number","11"
"airplane","wings","noun","wing"
"airplane","inside","adverb","inside"
"airplane","seats","noun","seat"
"airplane","large","adjective","large"
"airplane","engines","noun","engine"
"airplane","runs","verb","run"
"airplane","fuel","noun","fuel"
"airplane","flies","verb","fly"
"airplane","crash","verb","crash"
"airplane","big","adjective","big"
"airplane","fiery","adjective","fiery"
"airplane","holds","verb","hold"
"airplane","people","noun","people"
"airplane","flown","verb","flow"
"airplane","two","number","two"
"airplane","people","noun","people"
"airplane","two","number","two"
"airplane","wings","noun","wing"
"airplane","large","adjective","large"
"airplane","tail","noun","tail"
"airplane","wheels","noun","wheel"
"airplane","windows","noun","window"
"airplane","flies","verb","fly"
"airplane","made","verb","make"
"airplane","steel","noun","steel"
"airplane","holds","verb","hold"
"airplane","passengers","noun","passenger"
"airplane","travels","noun","travel"
"airplane","quickly","adverb","quickly"
"airplane","runs","verb","run"
"airplane","fuel","noun","fuel"
"airplane","expensive","adjective","expensive"
"airplane","pilot","noun","pilot"
"airplane","wings","noun","wing"
"airplane","engine","noun","engine"
"airplane","flies","verb","fly"
"airplane","wings","noun","wing"
"airplane","uses","verb","use"
"airplane","gas","noun","gas"
"airplane","used","verb","use"
"airplane","travel","noun","travel"
"airplane","flies","verb","fly"
"airplane","wings","noun","wing"
"airplane","people","noun","people"
"airplane","ride","verb","ride"
"airplane","big","adjective","big"
"airplane","jet","noun","jet"
"airplane","pilots","noun","pilot"
"airplane","can","modal","can"
"airplane","crash","verb","crash"
"airplane","transports","noun","transport"
"airplane","people","noun","people"
"airplane","flies","verb","fly"
"airplane","engine","noun","engine"
"airplane","wings","noun","wing"
"airplane","seats","noun","seat"
"airplane","people","noun","people"
"airplane","flies","verb","fly"
"airplane","can","modal","can"
"airplane","large","adjective","large"
"airplane","can","modal","can"
"airplane","small","adjective","small"
"airplane","transports","verb","transport"
"airplane","can","modal","can"
"airplane","fly","verb","fly"
"airplane","s","verb","s"
"airplane","heavy","adjective","heavy"
"airplane","land","verb","land"
"airplane","s","noun","s"
"airplane","air","noun","air"
"airplane","people","noun","people"
"airplane","ride","verb","ride"
"airplane","people","noun","people"
"airplane","work","verb","work"
"airplane","s","noun","s"
"airplane","built","verb","build"
"airplane","parts","noun","part"
"airplane","cabins","noun","cabin"
"airplane","s","noun","s"
"airplane","warm","verb","warm"
"airplane","s","adjective","s"
"airplane","cold","noun","cold"
"airplane","engine","noun","engine"
"airplane","can","modal","can"
"airplane","go","verb","go"
"airplane","across","preposition","across"
"airplane","country","noun","country"
"airplane","passengers","noun","passenger"
"airplane","pilot","noun","pilot"
"airplane","s","noun","s"
"airplane","large","adjective","large"
"airplane","transportation","noun","transportation"
"airplane","expensive","adjective","expensive"
"airplane","s","noun","s"
"airplane","full","adjective","full"
"airplane","people","noun","people"
"airplane","can","modal","can"
"airplane","used","verb","use"
"airplane","mass","adjective","mass"
"airplane","destruction","noun","destruction"
"airplane","suppose","verb","suppose"
"airplane","safer","adjective","safe"
"airplane","way","noun","way"
"airplane","travel","verb","travel"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","carries","verb","carry"
"airplane","passengers","noun","passenger"
"airplane","travels","noun","travel"
"airplane","quickly","adverb","quickly"
"airplane","looks","verb","look"
"airplane","neat","adjective","neat"
"airplane","multicolored","adjective","multicolored"
"airplane","made","verb","make"
"airplane","factories","noun","factory"
"airplane","long","adverb","long"
"airplane","inside","adverb","inside"
"airplane","equipment","noun","equipment"
"airplane","runs","verb","run"
"airplane","gas","noun","gas"
"airplane","can","modal","can"
"airplane","become","verb","become"
"airplane","hot","adjective","hot"
"airplane","necessity","noun","necessity"
"airplane","inside","adverb","inside"
"airplane","food","noun","food"
"airplane","inside","adverb","inside"
"airplane","seats","noun","seat"
"airplane","inside","adverb","inside"
"airplane","technology","noun","technology"
"airplane","large","adjective","large"
"airplane","white","adjective","white"
"airplane","many","adjective","many"
"airplane","windows","noun","window"
"airplane","big","adjective","big"
"airplane","heavy","adjective","heavy"
"airplane","object","noun","object"
"airplane","flies","verb","fly"
"airplane","cylindrical","adjective","cylindrical"
"airplane","shaped","adjective","shaped"
"airplane","body","noun","body"
"airplane","provides","verb","provide"
"airplane","quick","adjective","quick"
"airplane","travel","noun","travel"
"airplane","fast","adverb","fast"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","carries","verb","carry"
"airplane","passengers","noun","passenger"
"airplane","runs","noun","run"
"airplane","fuel","noun","fuel"
"airplane","can","modal","can"
"airplane","travel","verb","travel"
"airplane","long","adjective","long"
"airplane","distances","noun","distance"
"airplane","vehicle","noun","vehicle"
"airplane","uses","verb","use"
"airplane","engine","noun","engine"
"airplane","uses","verb","use"
"airplane","gasoline","noun","gasoline"
"airplane","used","verb","use"
"airplane","carry","verb","carry"
"airplane","passengers","noun","passenger"
"airplane","travels","verb","travel"
"airplane","distances","noun","distance"
"airplane","flies","noun","fly"
"airplane","wings","noun","wing"
"airplane","found","verb","find"
"airplane","airports","noun","airport"
"airplane","multiple","adjective","multiple"
"airplane","types","noun","type"
"airplane","transportation","noun","transportation"
"airplane","runs","verb","run"
"airplane","gas","noun","gas"
"airplane","used","verb","use"
"airplane","travel","verb","travel"
"airplane","sort","noun","sort"
"airplane","transportation","noun","transportation"
"airplane","travel","noun","travel"
"airplane","carries","verb","carry"
"airplane","people","noun","people"
"airplane","luggage","noun","luggage"
"airplane","takes","verb","take"
"airplane","flies","verb","fly"
"airplane","air","noun","air"
"airplane","form","noun","form"
"airplane","transportation","noun","transportation"
"airplane","flies","noun","fly"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","runs","noun","run"
"airplane","gas","noun","gas"
"airplane","big","adverb","big"
"airplane","used","verb","use"
"airplane","people","noun","people"
"airplane","wings","verb","wing"
"airplane","huge","adjective","huge"
"airplane","windows","noun","window"
"airplane","wings","noun","wing"
"airplane","people","noun","people"
"airplane","wings","noun","wing"
"airplane","transport","noun","transport"
"airplane","flies","noun","fly"
"airplane","wings","noun","wing"
"airplane","nose","noun","nose"
"airplane","flies","noun","fly"
"airplane","fast","adverb","fast"
"airplane","holds","verb","hold"
"airplane","people","noun","people"
"airplane","need","verb","need"
"airplane","oil","noun","oil"
"airplane","large","adjective","large"
"airplane","wings","noun","wing"
"airplane","engine","noun","engine"
"airplane","wings","noun","wing"
"airplane","tail","noun","tail"
"airplane","runs","verb","run"
"airplane","gas","noun","gas"
"airplane","wings","noun","wing"
"airplane","form","noun","form"
"airplane","transportation","noun","transportation"
"airplane","carries","verb","carry"
"airplane","people","noun","people"
"airplane","flying","noun","flying"
"airplane","wings","noun","wing"
"airplane","can","modal","can"
"airplane","fly","verb","fly"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","fly","verb","fly"
"airplane","engine","noun","engine"
"airplane","wings","noun","wing"
"airplane","wheels","noun","wheel"
"airplane","seat","noun","seat"
"airplane","pilot","noun","pilot"
"airplane","tail","noun","tail"
"airplane","wheel","noun","wheel"
"airplane","passenger","noun","passenger"
"airplane","flight","noun","flight"
"airplane","attendant","adjective","attendant"
"airplane","food","noun","food"
"airplane","pillow","noun","pillow"
"airplane","time","noun","time"
"airplane","sky","noun","sky"
"airplane","turbulence","noun","turbulence"
"airplane","transportation","noun","transportation"
"airplane","fly","noun","fly"
"airplane","used","verb","use"
"airplane","travel","noun","travel"
"airplane","flying","verb","fly"
"airplane","wing","noun","wing"
"airplane","pilot","noun","pilot"
"airplane","flying","verb","fly"
"airplane","heights","noun","height"
"airplane","fear","verb","fear"
"airplane","9","number","9"
"airplane","11","number","11"
"airplane","pilot","noun","pilot"
"airplane","movie","noun","movie"
"airplane","airplane","noun","airplane"
"airplane","flying","verb","fly"
"airplane","big","adjective","big"
"airplane","loud","adjective","loud"
"airplane","flying","verb","fly"
"airplane","fly","noun","fly"
"airplane","air","noun","air"
"airplane","take","verb","take"
"airplane","ground","noun","ground"
"airplane","wings","noun","wing"
"airplane","wheels","noun","wheel"
"airplane","passengers","noun","passenger"
"airplane","sit","verb","sit"
"airplane","pilots","noun","pilot"
"airplane","conduct","verb","conduct"
"airplane","must","modal","must"
"airplane","pay","verb","pay"
"airplane","money","noun","money"
"airplane","flight","noun","flight"
"airplane","one","number","one"
"airplane","run","noun","run"
"airplane","gas","noun","gas"
"airplane","seats","noun","seat"
"airplane","seat","noun","seat"
"airplane","belts","noun","belt"
"airplane","gives","verb","give"
"airplane","drinks","noun","drink"
"airplane","peanuts","noun","peanut"
"airplane","flight","noun","flight"
"airplane","usually","adverb","usually"
"airplane","big","adjective","big"
"airplane","fly","noun","fly"
"airplane","air","noun","air"
"airplane","physics","noun","physics"
"airplane","milestones","noun","milestone"
"airplane","passenger","noun","passenger"
"airplane","wars","noun","war"
"airplane","wings","noun","wing"
"airplane","used","verb","use"
"airplane","transport","verb","transport"
"airplane","difference","noun","difference"
"airplane","lays","noun","lay"
"airplane","engines","noun","engine"
"airplane","fast","adverb","fast"
"airplane","high","adjective","high"
"airplane","mile","noun","mile"
"airplane","high","adjective","high"
"airplane","club","noun","club"
"airplane","fly","noun","fly"
"airplane","flight","noun","flight"
"airplane","attendant","adjective","attendant"
"airplane","9","number","9"
"airplane","11","number","11"
"airplane","peanuts","noun","peanut"
"airplane","pilots","noun","pilot"
"airplane","wings","noun","wing"
"airplane","sky","noun","sky"
"airplane","landing","noun","landing"
"airplane","travel","noun","travel"
"airplane","flies","verb","fly"
"airplane","high","adjective","high"
"airplane","sky","noun","sky"
"airplane","flies","verb","fly"
"airplane","runs","noun","run"
"airplane","gas","noun","gas"
"airplane","steered","verb","steer"
"airplane","pilot","noun","pilot"
"airplane","holds","verb","hold"
"airplane","people","noun","people"
"airplane","holds","verb","hold"
"airplane","luggage","noun","luggage"
"airplane","big","adverb","big"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","wings","noun","wing"
"airplane","engines","noun","engine"
"airplane","windows","noun","window"
"airplane","flies","noun","fly"
"airplane","holds","verb","hold"
"airplane","people","noun","people"
"airplane","moves","noun","move"
"airplane","people","noun","people"
"airplane","big","adjective","big"
"airplane","flies","noun","fly"
"airplane","engines","noun","engine"
"airplane","white","adjective","white"
"airplane","loud","adjective","loud"
"airplane","big","adjective","big"
"airplane","makes","noun","make"
"airplane","lift","verb","lift"
"airplane","runs","noun","run"
"airplane","jet","noun","jet"
"airplane","fuel","noun","fuel"
"airplane","flies","verb","fly"
"airplane","Grey","name","grey"
"airplane","wings","noun","wing"
"airplane","fuel","noun","fuel"
"airplane","windows","noun","window"
"airplane","flies","verb","fly"
"airplane","fast","adverb","fast"
"airplane","wings","noun","wing"
"airplane","lift","noun","lift"
"airplane","made","verb","make"
"airplane","steel","noun","steel"
"airplane","windows","noun","window"
"airplane","carries","verb","carry"
"airplane","passengers","noun","passenger"
"airplane","large","adjective","large"
"airplane","heavy","adjective","heavy"
"airplane","flies","noun","fly"
"airplane","carries","verb","carry"
"airplane","people","noun","people"
"airplane","carries","verb","carry"
"airplane","cargo","noun","cargo"
"airplane","made","verb","make"
"airplane","metal","noun","metal"
"airplane","engines","noun","engine"
"airplane","driven","verb","drive"
"airplane","pilot","noun","pilot"
"airplane","goes","verb","go"
"airplane","long","adjective","long"
"airplane","distances","noun","distance"
"airplane","flies","verb","fly"
"airplane","clouds","noun","cloud"
"airplane","can","modal","can"
"airplane","fly","verb","fly"
"airplane","big","adjective","big"
"airplane","travel","noun","travel"
"airplane","vacation","noun","vacation"
"airplane","pilots","noun","pilot"
"airplane","passengers","noun","passenger"
"airplane","luggage","noun","luggage"
"airplane","big","adjective","big"
"airplane","flies","noun","fly"
"airplane","sky","noun","sky"
"airplane","used","verb","use"
"airplane","travel","noun","travel"
"airplane","meant","verb","mean"
"airplane","fly","verb","fly"
"airplane","help","verb","help"
"airplane","us","pronoun","us"
"airplane","travel","verb","travel"
"airplane","runs","noun","run"
"airplane","fuel","noun","fuel"
"airplane","also","adverb","also"
"airplane","movie","noun","movie"
"airplane","can","modal","can"
"airplane","big","adjective","big"
"airplane","small","adjective","small"
"airplane","airplane","noun","airplane"
"airplane","wings","noun","wing"
"airplane","engines","noun","engine"
"airplane","ability","noun","ability"
"airplane","fly","verb","fly"
"airplane","air","noun","air"
"airplane","wind","noun","wind"
"airplane","engines","noun","engine"
"airplane","technology","noun","technology"
"airplane","math","noun","math"
"airplane","physics","noun","physics"
"airplane","crashes","verb","crash"
"airplane","heights","noun","height"
"airplane","fear","verb","fear"
"airplane","heights","noun","height"
"airplane","anxiety","noun","anxiety"
"airplane","air","noun","air"
"airplane","clouds","verb","cloud"
"airplane","loud","adjective","loud"
"airplane","high","adjective","high"
"airplane","wings","noun","wing"
"airplane","sky","noun","sky"
"airplane","big","adjective","big"
"airplane","found","verb","find"
"airplane","airports","noun","airport"
"airplane","form","noun","form"
"airplane","transportation","noun","transportation"
"airplane","flies","noun","fly"
"airplane","make","verb","make"
"airplane","metal","noun","metal"
"airplane","duns","noun","dun"
"airplane","fuel","noun","fuel"
"airplane","NULL ","name","null"
"alligator","type","verb","type"
"alligator","evil","adjective","evil"
"alligator","demeanor","noun","demeanor"
"alligator","reptile","adjective","reptile"
"alligator","hard","adjective","hard"
"alligator","dry","adjective","dry"
"alligator","skin","noun","skin"
"alligator","large","adjective","large"
"alligator","teeth","noun","tooth"
"alligator","seem","verb","seem"
"alligator","teeth","noun","tooth"
"alligator","hungry","adjective","hungry"
"alligator","mean","noun","mean"
"alligator","aggression","noun","aggression"
"alligator","territorial","adjective","territorial"
"alligator","teeth","noun","tooth"
"alligator","big","adjective","big"
"alligator","green","adjective","green"
"alligator","scary","adjective","scary"
"alligator","water","noun","water"
"alligator","swamp","noun","swamp"
"alligator","eat","verb","eat"
"alligator","blood","noun","blood"
"alligator","long","adverb","long"
"alligator","swamps","verb","swamp"
"alligator","swamp","verb","swamp"
"alligator","dangerous","adjective","dangerous"
"alligator","scary","adjective","scary"
"alligator","tails","noun","tail"
"alligator","run","verb","run"
"alligator","water","noun","water"
"alligator","big","adjective","big"
"alligator","green","adjective","green"
"alligator","scales","noun","scale"
"alligator","teeth","noun","tooth"
"alligator","mouth","noun","mouth"
"alligator","bite","noun","bite"
"alligator","game","noun","game"
"alligator","warden","noun","warden"
"alligator","skin","noun","skin"
"alligator","shoes","verb","shoe"
"alligator","purses","noun","purse"
"alligator","swamp","verb","swamp"
"alligator","creepy","adjective","creepy"
"alligator","scary","adjective","scary"
"alligator","crawling","verb","crawl"
"alligator","rough","adjective","rough"
"alligator","shoes","noun","shoe"
"alligator","dangerous","adjective","dangerous"
"alligator","crocodile","noun","crocodile"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","water","noun","water"
"alligator","reptile","adjective","reptile"
"alligator","scary","adjective","scary"
"alligator","big","adjective","big"
"alligator","mean","adjective","mean"
"alligator","teeth","noun","tooth"
"alligator","violent","adjective","violent"
"alligator","green","adjective","green"
"alligator","reptile","adjective","reptile"
"alligator","skin","noun","skin"
"alligator","shoes","noun","shoe"
"alligator","used","verb","use"
"alligator","make","verb","make"
"alligator","products","noun","product"
"alligator","bags","noun","bag"
"alligator","reptile","adjective","reptile"
"alligator","scales","noun","scale"
"alligator","tail","adjective","tail"
"alligator","death","noun","death"
"alligator","roll","noun","roll"
"alligator","deadly","adjective","deadly"
"alligator","muscle","noun","muscle"
"alligator","reptile","adjective","reptile"
"alligator","native","adjective","native"
"alligator","cousins","noun","cousin"
"alligator","crocodile","noun","crocodile"
"alligator","living","verb","live"
"alligator","dinosaurs","noun","dinosaur"
"alligator","Americas","name","america"
"alligator","large","adjective","large"
"alligator","scaly","adjective","scaly"
"alligator","ambush","noun","ambush"
"alligator","predators","noun","predator"
"alligator","reptile","adjective","reptile"
"alligator","green","adjective","green"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","mean","verb","mean"
"alligator","killing","verb","kill"
"alligator","reptile","adjective","reptile"
"alligator","green","adjective","green"
"alligator","jaw","noun","jaw"
"alligator","large","adjective","large"
"alligator","body","noun","body"
"alligator","murky","adjective","murky"
"alligator","water","noun","water"
"alligator","carnivore","noun","carnivore"
"alligator","predator","noun","predator"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","strong","adjective","strong"
"alligator","pond","noun","pond"
"alligator","teeth","noun","tooth"
"alligator","crocodile","noun","crocodile"
"alligator","large","adjective","large"
"alligator","fresh","adjective","fresh"
"alligator","saltwater","adjective","saltwater"
"alligator","reptile","adjective","reptile"
"alligator","mean","adjective","mean"
"alligator","scary","adjective","scary"
"alligator","green","adjective","green"
"alligator","lakes","noun","lake"
"alligator","rivers","noun","river"
"alligator","swamps","noun","swamp"
"alligator","mean","verb","mean"
"alligator","green","adjective","green"
"alligator","hard","adjective","hard"
"alligator","hungry","adjective","hungry"
"alligator","mean","adjective","mean"
"alligator","dangerous","adjective","dangerous"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","rough","adjective","rough"
"alligator","water","noun","water"
"alligator","Louisiana","name","louisiana"
"alligator","many","adjective","many"
"alligator","teeth","noun","tooth"
"alligator","hurt","verb","hurt"
"alligator","dangerous","adjective","dangerous"
"alligator","green","adjective","green"
"alligator","swamp","noun","swamp"
"alligator","creatures","noun","creature"
"alligator","Louisiana","name","louisiana"
"alligator","marsh","noun","marsh"
"alligator","swamp","verb","swamp"
"alligator","scary","adjective","scary"
"alligator","green","adjective","green"
"alligator","animal","noun","animal"
"alligator","scary","adjective","scary"
"alligator","smooth","adverb","smooth"
"alligator","found","verb","find"
"alligator","dangerous","adjective","dangerous"
"alligator","massive","adjective","massive"
"alligator","Mississippi","name","mississippi"
"alligator","Australia","name","australia"
"alligator","Louisiana","name","louisiana"
"alligator","rivers","noun","river"
"alligator","swamps","verb","swamp"
"alligator","green","adjective","green"
"alligator","brown","adjective","brown"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","Florida","name","florida"
"alligator","football","noun","football"
"alligator","eyes","noun","eye"
"alligator","scales","verb","scale"
"alligator","dragon","noun","dragon"
"alligator","green","adjective","green"
"alligator","swimming","noun","swimming"
"alligator","pool","noun","pool"
"alligator","mean","verb","mean"
"alligator","teeth","noun","tooth"
"alligator","attack","verb","attack"
"alligator","sneaky","adjective","sneaky"
"alligator","summer","noun","summer"
"alligator","Florida","name","florida"
"alligator","teeth","noun","tooth"
"alligator","long","adverb","long"
"alligator","tail","adverb","tail"
"alligator","mean","verb","mean"
"alligator","bite","verb","bite"
"alligator","green","adjective","green"
"alligator","dangerous","adjective","dangerous"
"alligator","hard","adjective","hard"
"alligator","escape","verb","escape"
"alligator","amphibious","adjective","amphibious"
"alligator","crocodile","noun","crocodile"
"alligator","teeth","noun","tooth"
"alligator","predator","noun","predator"
"alligator","meat","noun","meat"
"alligator","eater","noun","eater"
"alligator","crocodile","noun","crocodile"
"alligator","teeth","noun","tooth"
"alligator","water","noun","water"
"alligator","reptile","adjective","reptile"
"alligator","predator","noun","predator"
"alligator","crocodile","noun","crocodile"
"alligator","green","adjective","green"
"alligator","good","adjective","good"
"alligator","swimmers","noun","swimmer"
"alligator","brown","verb","brown"
"alligator","swamp","verb","swamp"
"alligator","lot","noun","lot"
"alligator","teeth","noun","tooth"
"alligator","scary","adjective","scary"
"alligator","sleep","noun","sleep"
"alligator","lot","noun","lot"
"alligator","crocodile","noun","crocodile"
"alligator","green","adjective","green"
"alligator","bayou","noun","bayou"
"alligator","swamp","noun","swamp"
"alligator","crocodile","noun","crocodile"
"alligator","crocodile","noun","crocodile"
"alligator","water","noun","water"
"alligator","reptile","adjective","reptile"
"alligator","chicken","noun","chicken"
"alligator","green","adjective","green"
"alligator","skin","noun","skin"
"alligator","bit","noun","bit"
"alligator","animal","noun","animal"
"alligator","angry","adjective","angry"
"alligator","pond","noun","pond"
"alligator","big","adjective","big"
"alligator","scary","adjective","scary"
"alligator","bad","adjective","bad"
"alligator","hurt","verb","hurt"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","animal","noun","animal"
"alligator","zoo","noun","zoo"
"alligator","green","adjective","green"
"alligator","scale","noun","scale"
"alligator","scary","adjective","scary"
"alligator","animal","noun","animal"
"alligator","planet","noun","planet"
"alligator","science","noun","science"
"alligator","animal","noun","animal"
"alligator","expensive","adjective","expensive"
"alligator","boot","noun","boot"
"alligator","outlooks","noun","outlook"
"alligator","good","adjective","good"
"alligator","animal","noun","animal"
"alligator","meat","noun","meat"
"alligator","green","noun","green"
"alligator","brown","adjective","brown"
"alligator","eater","noun","eater"
"alligator","swamps","noun","swamp"
"alligator","fast","adjective","fast"
"alligator","swimmer","noun","swimmer"
"alligator","tail","noun","tail"
"alligator","large","adjective","large"
"alligator","teeth","noun","tooth"
"alligator","animal","noun","animal"
"alligator","lives","verb","live"
"alligator","water","noun","water"
"alligator","big","adjective","big"
"alligator","mouth","noun","mouth"
"alligator","animal","noun","animal"
"alligator","large","adjective","large"
"alligator","hunted","verb","hunt"
"alligator","skin","noun","skin"
"alligator","strong","adjective","strong"
"alligator","intimidating","adjective","intimidating"
"alligator","powerful","adjective","powerful"
"alligator","jaw","noun","jaw"
"alligator","sharp","adjective","sharp"
"alligator","teeth","noun","tooth"
"alligator","green","adjective","green"
"alligator","brown","adjective","brown"
"alligator","predator","noun","predator"
"alligator","animal","noun","animal"
"alligator","big","adjective","big"
